,Phenotype,o_1,o_2,o_3,o_4
115,x[7] -= 7,0.5814142525196075,0.021604938432574272,0.1111111111111111,0.15749208629131317
116,x[7] -= 4,0.6004192531108856,0.012345679104328156,0.1111111111111111,0.1632240116596222
117,x[6] += 0.6,0.6321898996829987,0.0,0.0,0.1720423549413681
118,x[7] -= 4,0.6004192531108856,0.012345679104328156,0.1111111111111111,0.1632240116596222
119,x[6] += 1.3,0.6321599781513214,1.3768415556114633e-05,0.1111111111111111,0.17205218970775604
120,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
121,x[6] -= 0.9,0.6322197318077087,1.3768415556114633e-05,0.1111111111111111,0.17203645408153534
122,x[6] += 1,0.6321599781513214,1.3768415556114633e-05,0.1111111111111111,0.17205218970775604
123,x[7] -= 7,0.5814142525196075,0.021604938432574272,0.1111111111111111,0.15749208629131317
124,x[7] -= 7,0.5814142525196075,0.021604938432574272,0.1111111111111111,0.15749208629131317
125,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
126,x[6] += 0.8,0.6321898996829987,0.0,0.0,0.1720423549413681
127,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
128,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
129,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
130,x[6] += 0.5,0.6321898996829987,0.0,0.0,0.1720423549413681
131,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
132,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
133,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
134,x[7] -= 4,0.6004192531108856,0.012345679104328156,0.1111111111111111,0.1632240116596222
135,x[6] -= 1.2,0.6322492361068726,2.7536831112229265e-05,0.1111111111111111,0.17203055322170258
136,x[7] -= 7,0.5814142525196075,0.021604938432574272,0.1111111111111111,0.15749208629131317
137,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
138,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
139,x[7] -= 4,0.6004192531108856,0.012345679104328156,0.1111111111111111,0.1632240116596222
140,x[6] += 0.6,0.6321898996829987,0.0,0.0,0.1720423549413681
141,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
142,x[7] -= 7,0.5814142525196075,0.021604938432574272,0.1111111111111111,0.15749208629131317
143,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
144,x[7] += 9,0.6996151208877563,0.02777777798473835,0.1111111111111111,0.19498701393604279
145,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
146,x[7] += 4,0.6629938185214996,0.012345679104328156,0.1111111111111111,0.1839640587568283
147,x[6] += 0.5,0.6321898996829987,0.0,0.0,0.1720423549413681
148,x[7] -= 4,0.6004192531108856,0.012345679104328156,0.1111111111111111,0.1632240116596222
149,x[7] -= 3,0.6083411872386932,0.009259259328246117,0.1111111111111111,0.16542859375476837
